AreaCode,Height,Siblings,Handedness,Apps,AgeInMonths,Movie,Major,Class
512,172.72,1,Right-handed,65,242,Oppenheimer,Biology,Sophomore
214,157.48,3,Right-handed,,234,meg2,Mathematical Finance,Sophomore
415,177.8,0,Left-handed,110,240,Barbie,Biology,Junior
469,176,2,Right-handed,,233,Spider-Man: Across the Spider-Verse,Biochemistry and Molecular Biology,Sophomore
832,165.1,1,Right-handed,94,248,Nausicaa: Valley of the Wind,Biochemistry and Molecular Biology,Senior
832,177.8,1,Right-handed,30,245,oppenheimer,Biochemistry and Molecular Biology,Junior
817,163,2,Right-handed,89,227,Barbie,Geosciences,Sophomore
214,170.18,0,Left-handed,50,233,Are you there god it's me margaret,International Studies,Sophomore
480,186,3,Right-handed,130,265,Oppenheimer,Biology,Senior
720,167,1,Right-handed,72,216,oppenheimer,Biology,First-year
832,160,1,Right-handed,20,249,Thor: Love and Thunder,Biology,Junior
469,160.02,0,Right-handed,100,250.164,Oppenheimer ,Biology,Junior
817,1297,2,Right-handed,81,254,Oppenheimer,Biology,Junior
281,160.7,1,Right-handed,88,255,Oppenheimer,Biochemistry and Molecular Biology,Senior
210,175,1,Right-handed,160,228,Star Wars: Rise of Skywalker,Biology,Sophomore
713,165.1,3,Right-handed,55,216.148,Barbie,Biology,First-year
214,157.48,1,Right-handed,82,234,Oppenheimer ,Biology,Sophomore
832,165.1,1,Right-handed,41,226,Oppenheimer,Neuroscience,First-year
713,170.18,1,Right-handed,40,234,Barbie,Biochemistry and Molecular Biology,Sophomore
972,179,2,Other,54,252,Oppenheimer,Biology,Junior
210,170,2,Left-handed,,230,barbie,Biochemistry and Molecular Biology,Sophomore
512,168,4,Right-handed,98,252,Barbie,Environmental Studies,Senior
210,171,3,Right-handed,90,239,Barbie,Undecided,Sophomore
971,162,1,Left-handed,131,240,Puss in Boots: The Last Wish,Computer Science,Junior
210,185.4,1,Right-handed,39,233,Oppenheimer ,Biology,Sophomore
512,162.56,1,Right-handed,78,216,Oppenheimer,Biochemistry and Molecular Biology,First-year
650,180,1,Right-handed,135,249,Oppenheimer,Biology,Junior
956,178,1,Right-handed,74,231,Oppenheimer ,Biology,Sophomore
469,157.48,2,Right-handed,116,221,Oppenheimer,Biology,First-year
613,165,1,Right-handed,100,249,Indiana Jones and the Dial of Destiny,Sociology,Junior
512,152.4,1,Right-handed,78,252,Spiderman across the spiderverse ,Biology,Senior
512,170.18,0,Right-handed,151,216,Oppenheimer,Biology,First-year
956,167.64,3,Right-handed,55,236,Talk to Me,Biology,Sophomore
512,165,1,Left-handed,131,220,Oppenheimer,Biology,First-year
210,182.88,3,Right-handed,57,224,Spider-Man: Across the Spiderverse,Biology,First-year
608,161.5,2,Right-handed,57,228,Oppenheimer ,Biology,Sophomore
830,173,1,Left-handed,30,258,Oppenheimer,Geosciences,Senior
832,175.26,0,Right-handed,120,219,barbie,Biology,First-year
-210,159.512,1,Right-handed,69,252.867,Barbie,Biology,Senior
512,182,1,Right-handed,71,260,Oppenheimer,Biology,Senior
956,178,1,Right-handed,121,266,Oppenheimer,Biology,Senior
956,157.48,3,Left-handed,55,240,Oppenheimer,English,Junior
214,167.64,1,Right-handed,88,247,The Little Mermaid,Geosciences,Junior
505,162.56,1,Right-handed,78,231,Barbie,Computer Science,Sophomore
823,180,4,Right-handed,140,258,Barbie,Communication,Senior
210,174,0,Right-handed,210,240,Oppenheimer,Biochemistry and Molecular Biology,Sophomore
832,167.64,1,Right-handed,23,240,"I do not remember, before covid ",History,Junior
